"","X.1","X","Special","Organization.Name","Majors","CompSci","AllMajors","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","Seeking_Major","value"
"86",72,72,NA,"Fidelity Investments","Stats, Math, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","No","CS","CS"
"87",73,73,NA,"Fitbit","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"88",74,74,"Actuarial Section","Florida Blue","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"89",75,75,NA,"Fluke Networks","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"90",76,76,NA,"Fujitsu Network Communications","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"91",77,77,NA,"Futurex","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"92",78,78,NA,"Gemalto","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"93",79,79,NA,"General Electric","CS, Math, Physics",TRUE,FALSE,TRUE,NA,"FT","Yes","CS","CS"
"94",80,80,NA,"General Motors","CS",TRUE,FALSE,FALSE,"BS","FT","Yes","CS","CS"
"95",81,81,NA,"GoDaddy","CS, Math",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"96",82,82,NA,"Golden Frog","Math, CS",TRUE,FALSE,TRUE,"BS, Cert, MS","FT","Yes","CS","CS"
"97",84,84,NA,"Google, Inc","Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"98",85,85,"Technology Start Up Village","Graphiq","Astronomy, Bio, Biochem, Chem, CS, Math, Physics, Stats",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"99",86,86,NA,"Halliburton","Math, CS, Chem, BioChem",TRUE,FALSE,TRUE,"MS, Ph.D.","FT, Intern","Yes","CS","CS"
"100",87,87,NA,"HBK Capital Management","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"101",88,88,"Actuarial Section","HCC Insurance Holdings","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"102",89,89,NA,"Headspring","CS",TRUE,FALSE,FALSE,NA,"FT","Yes","CS","CS"
"103",90,90,NA,"Hewlett-­‐Packard","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"104",92,92,NA,"HomeAway","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"105",93,93,NA,"Honeywell","CS",TRUE,FALSE,FALSE,"BS","Intern","Yes","CS","CS"
"106",94,94,NA,"Hudl","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"107",95,95,NA,"IBM","CS",TRUE,FALSE,FALSE,"BS, MS","FT","Yes","CS","CS"
"108",97,97,NA,"Indeed","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","Yes","CS","CS"
"109",99,99,NA,"innoWake","CS",TRUE,FALSE,FALSE,"BA, MS, Ph.D.","FT","Yes","CS","CS"
"110",100,100,NA,"Intel Corporation","Stats, Physics, Math, CS, Chem",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"111",101,101,NA,"Jet Propulsion Laboratory","CS, EnviroSci, HDFS, Math Physics, Stats",TRUE,FALSE,TRUE,"BA, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"112",102,102,NA,"JPMorgan Chase & Co.","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"113",103,103,NA,"KPMG LLP","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT","No","CS","CS"
"114",104,104,NA,"L-­‐3 Mission Integration","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"115",106,106,NA,"Liberty Mutual","CS, Math, Stats",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"116",107,107,NA,"Linkedin Corporation","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","No","CS","CS"
"117",108,108,NA,"Lithium Technologies","CS",TRUE,FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"118",109,109,NA,"Lockheed Martin","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"119",110,110,NA,"Macedon Technologies","CS",TRUE,FALSE,FALSE,"BS","FT","No","CS","CS"
"120",111,111,NA,"Macy's, Inc.","Textiles and Apparel, Stats, Math, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"121",112,112,NA,"Main Street Hub","Physics, Math, CS",TRUE,FALSE,TRUE,"BS","FT","Yes","CS","CS"
"122",113,113,NA,"Mellanox Technologies","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","No","CS","CS"
"123",114,114,NA,"MaxPoint","CS, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","No","CS","CS"
"124",115,115,NA,"Meraki","Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"125",116,116,"Actuarial Section","Mercer","Stats, Public Health, Math, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"126",117,117,NA,"METECS","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","Yes","CS","CS"
"127",118,118,NA,"Microsoft","Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"128",119,119,NA,"MIT Lincoln Laboratory","Physics, Math, CS, Chem, Bio, BioChem, Astronomy",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"129",120,120,NA,"National Instruments","Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"130",121,121,NA,"NCC Group","Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"131",122,122,NA,"NetSuite","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"132",125,125,NA,"Offers.com","CS",TRUE,FALSE,FALSE,"BA, Cert","FT","Yes","CS","CS"
"133",126,126,NA,"Oracle","Stats, Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"134",127,127,NA,"Orbitz Worldwide","CS",TRUE,FALSE,FALSE,"BS","FT","No","CS","CS"
"135",128,128,NA,"Palantir Technologies","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"136",129,129,NA,"Palo Alto Networks","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"137",130,130,NA,"Pariveda Solutions","Physics, Math, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","Yes","CS","CS"
"138",131,131,NA,"PayPal","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"139",133,133,NA,"Pearson","CS",TRUE,FALSE,FALSE,"BS, MS","FT, Intern","No","CS","CS"
"140",134,134,NA,"PepsiCo","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"141",135,135,NA,"Perficient","CS",TRUE,FALSE,FALSE,"BS, MS","FT","No","CS","CS"
"142",137,137,NA,"Pinterest, Inc.","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"143",138,138,"Technology Start Up Village","Praetorian","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"144",139,139,NA,"PricewaterhouseCoopers","Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"145",141,141,NA,"Produce Pro Software","CS",TRUE,FALSE,FALSE,"BS, MS","FT","Yes","CS","CS"
"146",142,142,NA,"PROS","CS, Math",TRUE,FALSE,TRUE,"BA, MS, Ph.D.","FT","Yes","CS","CS"
"147",143,143,NA,"Pure Storage","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"148",144,144,NA,"Qualtrics","CS",TRUE,FALSE,FALSE,"BS","FT","Yes","CS","CS"
"149",145,145,NA,"Quantlab Financial, LLC","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"150",146,146,NA,"Quora","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"151",147,147,NA,"Quorum Business Solutions","Stats, Physics, Math, CS, Chem",TRUE,FALSE,TRUE,"BS, MS","FT","Yes","CS","CS"
"152",148,148,NA,"Rackspace","Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"153",149,149,NA,"Raytheon Company","Physics, Math, CS",TRUE,FALSE,TRUE,"BS, MS","FT, Intern","Yes","CS","CS"
"154",150,150,NA,"Reddwerks","CS",TRUE,FALSE,FALSE,"BS, MS","FT","No","CS","CS"
"155",151,151,"Technology Start Up Village","Redfin","Stats, CS",TRUE,FALSE,TRUE,"BS","FT, Intern","No","CS","CS"
"156",152,152,NA,"RetailMeNot, Inc.","CS",TRUE,FALSE,FALSE,"BS","FT, Intern","No","CS","CS"
"157",153,153,NA,"Rev.com","CS",TRUE,FALSE,FALSE,"BS","FT","Yes","CS","CS"
"158",156,156,NA,"Salesforce","Stats, Math, CS",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"159",157,157,NA,"Sandia National Laboratories","Stats, Physics, Math, EnviroSci, CS, Chem, BioChem, Astronomy",TRUE,FALSE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"160",158,158,NA,"SAS Institute","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"FT, Intern","Yes","CS","CS"
"161",159,159,NA,"Schlumberger","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","CS","CS"
"162",160,160,NA,"SnapStream Media Inc.","CS",TRUE,FALSE,FALSE,"BA, MS, Ph.D.","FT, Intern","No","CS","CS"
"163",161,161,NA,"Sogeti","CS",TRUE,FALSE,FALSE,"BS","FT","Yes","CS","CS"
"164",162,162,NA,"Southwestern Energy","CS, Physics, Math, Stats",TRUE,FALSE,TRUE,NA,"Intern","Yes","CS","CS"
"165",164,164,"Technology Start Up Village","SpiceWorks","CS, Math",TRUE,FALSE,TRUE,"BA","Intern","Yes","CS","CS"
"166",165,165,NA,"Splunk","CS",TRUE,FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","CS","CS"
"167",167,167,NA,"State Farm Insurance Companies","CS, Math, Stats",TRUE,FALSE,TRUE,"BA, MS","FT, Intern","Yes","CS","CS"
"168",168,168,"Technology Start Up Village","Steelwedge Software","CS",TRUE,FALSE,FALSE,NA,"FT, Intern","Yes","CS","CS"
"169",169,169,NA,"SunGard Global Services","CS",TRUE,FALSE,FALSE,"BA, MS","FT","Yes","CS","CS"
"170",170,170,NA,"SunGard Financial Systems","Math, CS",TRUE,FALSE,TRUE,"BS","FT","No","CS","CS"
