"","X","Special","Organization.Name","Majors","CompSci","Math.1","Degrees.Sought","Position.Types","US.Work.Authorization.Required.","variable","value"
"848",203,NA,"Verizon","Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","Math","Math"
"849",204,NA,"Visa","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Math","Math"
"850",205,NA,"VML","CS, Physics, Math, Stats, TXA",TRUE,TRUE,NA,"FT, Intern","No","Math","Math"
"852",207,NA,"Volusion","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","Math","Math"
"853",208,NA,"Websense","Bio, CS, Math, Physics, Stats Elements ofComp Cert.",TRUE,TRUE,"BA, Cert, MS","FT, Intern","Yes","Math","Math"
"855",210,NA,"WhatsApp","Physics, Math, CS",TRUE,TRUE,NA,"FT, Intern","No","Math","Math"
"856",211,NA,"Workday","Stats, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","Math","Math"
"857",212,NA,"WP Engine","All Majors",FALSE,FALSE,"BS","FT","Yes","Math","Math"
"858",213,NA,"Xerox","All Majors",FALSE,FALSE,NA,"FT","No","Math","Math"
"860",215,NA,"YES Prep Public Schools","All Majors",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","Math","Math"
"864",4,"Actuarial Section","AIG","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","No","Physics","Physics"
"872",12,NA,"AmeriCorps","All Majors",FALSE,FALSE,"BS, Cert, MS","FT","Yes","Physics","Physics"
"875",15,NA,"Aon","All Majors",FALSE,FALSE,"BS","FT, Intern","Yes","Physics","Physics"
"876",16,NA,"Applied Research Laboratories (ARL)","CS, Math, Physics",TRUE,TRUE,"BA, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"878",18,NA,"AT&T","Stats, Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","Physics","Physics"
"879",19,NA,"athenahealth, Inc.","Physics, Math, CS",TRUE,TRUE,"BS, Cert, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"884",24,NA,"Bloomberg","Math, Physics, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"885",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Physics","Physics"
"887",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Physics","Physics"
"890",30,NA,"Buoy, Inc.","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","Physics","Physics"
"891",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Physics","Physics"
"893",33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS","FT, Intern","Yes","Physics","Physics"
"894",34,NA,"CAPSHER","CS, Math, Physics",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"895",35,NA,"CGG","Physics, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT","No","Physics","Physics"
"896",36,NA,"Charles Schwab & Co.","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Physics","Physics"
"899",39,NA,"Citadel LLC","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Physics","Physics"
"900",40,NA,"Citi","Stats, Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","Physics","Physics"
"902",42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Physics","Physics"
"904",44,NA,"Clover Network","CS, Physics, Math, Stats, TXA",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"906",46,NA,"Cox Automotive","Physics, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","Physics","Physics"
"911",51,NA,"Customer Marketing Group","Stats, Physics, Math",FALSE,TRUE,"BS, MS, Ph.D.","Intern","No","Physics","Physics"
"912",52,NA,"Cvent","All Majors",FALSE,FALSE,"BS, MS","FT","No","Physics","Physics"
"918",58,NA,"Dimensional Fund Advisors","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Physics","Physics"
"921",61,NA,"Elbit Systems of America","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"923",63,NA,"Enthought","Stats, Physics, Bio, Math, CS, Chem, Astronomy",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"925",65,NA,"Epic","Math, Stats, Physics, CS, Chem, Bio, BioChem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"930",70,NA,"Facebook","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","Physics","Physics"
"935",75,NA,"Fluke Networks","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"939",79,NA,"General Electric","CS, Math, Physics",TRUE,TRUE,NA,"FT","Yes","Physics","Physics"
"943",83,NA,"Goldman Sachs","All Majors",FALSE,FALSE,"BS","Intern","No","Physics","Physics"
"945",85,"Technology Start Up Village","Graphiq","Astronomy, Bio, Biochem, Chem, CS, Math, Physics, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"951",91,NA,"HMS -Â­â (Health Management System)","All Majors",FALSE,FALSE,"BA","Intern","Yes","Physics","Physics"
"956",96,NA,"Identropy, Inc.","All Majors",FALSE,FALSE,NA,"FT","No","Physics","Physics"
"958",98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Physics","Physics"
"960",100,NA,"Intel Corporation","Stats, Physics, Math, CS, Chem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"961",101,NA,"Jet Propulsion Laboratory","CS, EnviroSci, HDFS, Math Physics, Stats",TRUE,TRUE,"BA, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"963",103,NA,"KPMG LLP","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT","No","Physics","Physics"
"965",105,NA,"L'Oreal","Chem, Physics, Math",FALSE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"972",112,NA,"Main Street Hub","Physics, Math, CS",TRUE,TRUE,"BS","FT","Yes","Physics","Physics"
"973",113,NA,"Mellanox Technologies","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","No","Physics","Physics"
"979",119,NA,"MIT Lincoln Laboratory","Physics, Math, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"984",124,NA,"o9 Solutions, Inc.","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Physics","Physics"
"986",126,NA,"Oracle","Stats, Physics, Math, CS",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"990",130,NA,"Pariveda Solutions","Physics, Math, CS",TRUE,TRUE,"BS","FT, Intern","Yes","Physics","Physics"
"992",132,NA,"Peace Corps","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Physics","Physics"
"994",134,NA,"PepsiCo","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"996",136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,FALSE,NA,"FT","Yes","Physics","Physics"
"1007",147,NA,"Quorum Business Solutions","Stats, Physics, Math, CS, Chem",TRUE,TRUE,"BS, MS","FT","Yes","Physics","Physics"
"1009",149,NA,"Raytheon Company","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","Yes","Physics","Physics"
"1015",155,NA,"Rx Wiki","All Majors",FALSE,FALSE,NA,"FT","Yes","Physics","Physics"
"1017",157,NA,"Sandia National Laboratories","Stats, Physics, Math, EnviroSci, CS, Chem, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"1018",158,NA,"SAS Institute","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"1022",162,NA,"Southwestern Energy","CS, Physics, Math, Stats",TRUE,TRUE,NA,"Intern","Yes","Physics","Physics"
"1026",166,NA,"Spredfast","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Physics","Physics"
"1032",172,NA,"Target Corporation","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Physics","Physics"
"1036",176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,FALSE,"BA, MS","Intern","Yes","Physics","Physics"
"1038",178,NA,"Texas Water Development Board","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"1041",181,NA,"The Dow Chemical Company","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Physics","Physics"
"1042",182,NA,"Thomson Reuters","Math, Stats, CS, Physics",TRUE,TRUE,NA,"FT, Intern","Yes","Physics","Physics"
"1044",184,NA,"TIBCO Software Inc.","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT, Intern","No","Physics","Physics"
"1045",185,NA,"Tinker Air Force Base Civilian Employment","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","Physics","Physics"
"1048",188,NA,"Turnitin","CS, Physics, Math, Stats",TRUE,TRUE,NA,"FT","Yes","Physics","Physics"
"1050",190,"Technology Start Up Village","Umbel","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"1052",192,NA,"Under Armour","Textiles and Apparel, Physics, Math, CS",TRUE,TRUE,"BS","Intern","No","Physics","Physics"
"1055",195,NA,"US Army Aviation and Missile Research, Development, and Engineering Center","Chem, CS, Math, Physics, Stats",TRUE,TRUE,NA,"FT","Yes","Physics","Physics"
"1056",196,NA,"US Marine Corps Officer Selection Team Austin, TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Physics","Physics"
"1057",197,NA,"US Navy","All Majors",FALSE,FALSE,"BA","FT","Yes","Physics","Physics"
"1059",199,NA,"uShip","CS, Physics, Math, Stats",TRUE,TRUE,NA,"Intern","No","Physics","Physics"
"1060",200,NA,"UT Health School of Biomedical Informatics at Hou","All Majors",FALSE,FALSE,"BA","FT","No","Physics","Physics"
"1061",201,NA,"UT Health Science Center at Tyler","Biochem, Bio, Chem, MedLabSci, Physics, HP",FALSE,FALSE,"BA","FT","Yes","Physics","Physics"
"1064",204,NA,"Visa","CS, Physics, Math, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"1065",205,NA,"VML","CS, Physics, Math, Stats, TXA",TRUE,TRUE,NA,"FT, Intern","No","Physics","Physics"
"1067",207,NA,"Volusion","Physics, Math, CS",TRUE,TRUE,"BS, MS","FT, Intern","No","Physics","Physics"
"1068",208,NA,"Websense","Bio, CS, Math, Physics, Stats Elements ofComp Cert.",TRUE,TRUE,"BA, Cert, MS","FT, Intern","Yes","Physics","Physics"
"1070",210,NA,"WhatsApp","Physics, Math, CS",TRUE,TRUE,NA,"FT, Intern","No","Physics","Physics"
"1072",212,NA,"WP Engine","All Majors",FALSE,FALSE,"BS","FT","Yes","Physics","Physics"
"1073",213,NA,"Xerox","All Majors",FALSE,FALSE,NA,"FT","No","Physics","Physics"
"1075",215,NA,"YES Prep Public Schools","All Majors",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","Physics","Physics"
"1079",4,"Actuarial Section","AIG","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","No","Chem","Chem"
"1087",12,NA,"AmeriCorps","All Majors",FALSE,FALSE,"BS, Cert, MS","FT","Yes","Chem","Chem"
"1090",15,NA,"Aon","All Majors",FALSE,FALSE,"BS","FT, Intern","Yes","Chem","Chem"
"1100",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Chem","Chem"
"1102",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Chem","Chem"
"1106",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Chem","Chem"
"1108",33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS","FT, Intern","Yes","Chem","Chem"
"1111",36,NA,"Charles Schwab & Co.","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Chem","Chem"
"1114",39,NA,"Citadel LLC","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Chem","Chem"
"1117",42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Chem","Chem"
"1127",52,NA,"Cvent","All Majors",FALSE,FALSE,"BS, MS","FT","No","Chem","Chem"
"1133",58,NA,"Dimensional Fund Advisors","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Chem","Chem"
"1138",63,NA,"Enthought","Stats, Physics, Bio, Math, CS, Chem, Astronomy",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","Chem","Chem"
"1140",65,NA,"Epic","Math, Stats, Physics, CS, Chem, Bio, BioChem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Chem","Chem"
"1142",67,NA,"Evonik Corporation","EnviroSci, Chem, Bio, BioChem",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Chem","Chem"
"1144",69,NA,"ExxonMobil Corporation","Chem (Ph.D.), CS",TRUE,FALSE,"BS, MS","FT, Intern","Yes","Chem","Chem"
"1158",83,NA,"Goldman Sachs","All Majors",FALSE,FALSE,"BS","Intern","No","Chem","Chem"
"1160",85,"Technology Start Up Village","Graphiq","Astronomy, Bio, Biochem, Chem, CS, Math, Physics, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Chem","Chem"
"1161",86,NA,"Halliburton","Math, CS, Chem, BioChem",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","Chem","Chem"
"1166",91,NA,"HMS -Â­â (Health Management System)","All Majors",FALSE,FALSE,"BA","Intern","Yes","Chem","Chem"
"1171",96,NA,"Identropy, Inc.","All Majors",FALSE,FALSE,NA,"FT","No","Chem","Chem"
"1173",98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Chem","Chem"
"1175",100,NA,"Intel Corporation","Stats, Physics, Math, CS, Chem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Chem","Chem"
"1180",105,NA,"L'Oreal","Chem, Physics, Math",FALSE,TRUE,NA,"FT, Intern","Yes","Chem","Chem"
"1194",119,NA,"MIT Lincoln Laboratory","Physics, Math, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Chem","Chem"
"1199",124,NA,"o9 Solutions, Inc.","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Chem","Chem"
"1207",132,NA,"Peace Corps","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Chem","Chem"
"1211",136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,FALSE,NA,"FT","Yes","Chem","Chem"
"1215",140,NA,"Procter & Gamble","Chem, Bio, BioChem",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","Chem","Chem"
"1222",147,NA,"Quorum Business Solutions","Stats, Physics, Math, CS, Chem",TRUE,TRUE,"BS, MS","FT","Yes","Chem","Chem"
"1230",155,NA,"Rx Wiki","All Majors",FALSE,FALSE,NA,"FT","Yes","Chem","Chem"
"1232",157,NA,"Sandia National Laboratories","Stats, Physics, Math, EnviroSci, CS, Chem, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Chem","Chem"
"1241",166,NA,"Spredfast","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Chem","Chem"
"1247",172,NA,"Target Corporation","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Chem","Chem"
"1251",176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,FALSE,"BA, MS","Intern","Yes","Chem","Chem"
"1253",178,NA,"Texas Water Development Board","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","Chem","Chem"
"1255",180,NA,"The Blood & Tissue Center of Central Texas","Bio, Biochem, Chem, Stats, NeuroSci, HDFS, Public Health",FALSE,TRUE,NA,"FT, Intern","Yes","Chem","Chem"
"1265",190,"Technology Start Up Village","Umbel","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","Chem","Chem"
"1270",195,NA,"US Army Aviation and Missile Research, Development, and Engineering Center","Chem, CS, Math, Physics, Stats",TRUE,TRUE,NA,"FT","Yes","Chem","Chem"
"1271",196,NA,"US Marine Corps Officer Selection Team Austin, TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Chem","Chem"
"1272",197,NA,"US Navy","All Majors",FALSE,FALSE,"BA","FT","Yes","Chem","Chem"
"1275",200,NA,"UT Health School of Biomedical Informatics at Hou","All Majors",FALSE,FALSE,"BA","FT","No","Chem","Chem"
"1276",201,NA,"UT Health Science Center at Tyler","Biochem, Bio, Chem, MedLabSci, Physics, HP",FALSE,FALSE,"BA","FT","Yes","Chem","Chem"
"1287",212,NA,"WP Engine","All Majors",FALSE,FALSE,"BS","FT","Yes","Chem","Chem"
"1288",213,NA,"Xerox","All Majors",FALSE,FALSE,NA,"FT","No","Chem","Chem"
"1290",215,NA,"YES Prep Public Schools","All Majors",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","Chem","Chem"
"1294",4,"Actuarial Section","AIG","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","No","Bio","Bio"
"1302",12,NA,"AmeriCorps","All Majors",FALSE,FALSE,"BS, Cert, MS","FT","Yes","Bio","Bio"
"1305",15,NA,"Aon","All Majors",FALSE,FALSE,"BS","FT, Intern","Yes","Bio","Bio"
"1315",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Bio","Bio"
"1317",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Bio","Bio"
"1321",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Bio","Bio"
"1323",33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS","FT, Intern","Yes","Bio","Bio"
"1326",36,NA,"Charles Schwab & Co.","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Bio","Bio"
"1329",39,NA,"Citadel LLC","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Bio","Bio"
"1332",42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Bio","Bio"
"1342",52,NA,"Cvent","All Majors",FALSE,FALSE,"BS, MS","FT","No","Bio","Bio"
"1348",58,NA,"Dimensional Fund Advisors","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Bio","Bio"
"1353",63,NA,"Enthought","Stats, Physics, Bio, Math, CS, Chem, Astronomy",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","Bio","Bio"
"1355",65,NA,"Epic","Math, Stats, Physics, CS, Chem, Bio, BioChem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Bio","Bio"
"1357",67,NA,"Evonik Corporation","EnviroSci, Chem, Bio, BioChem",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Bio","Bio"
"1373",83,NA,"Goldman Sachs","All Majors",FALSE,FALSE,"BS","Intern","No","Bio","Bio"
"1375",85,"Technology Start Up Village","Graphiq","Astronomy, Bio, Biochem, Chem, CS, Math, Physics, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Bio","Bio"
"1381",91,NA,"HMS -Â­â (Health Management System)","All Majors",FALSE,FALSE,"BA","Intern","Yes","Bio","Bio"
"1386",96,NA,"Identropy, Inc.","All Majors",FALSE,FALSE,NA,"FT","No","Bio","Bio"
"1388",98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Bio","Bio"
"1409",119,NA,"MIT Lincoln Laboratory","Physics, Math, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Bio","Bio"
"1414",124,NA,"o9 Solutions, Inc.","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Bio","Bio"
"1422",132,NA,"Peace Corps","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Bio","Bio"
"1426",136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,FALSE,NA,"FT","Yes","Bio","Bio"
"1430",140,NA,"Procter & Gamble","Chem, Bio, BioChem",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","Bio","Bio"
"1445",155,NA,"Rx Wiki","All Majors",FALSE,FALSE,NA,"FT","Yes","Bio","Bio"
"1456",166,NA,"Spredfast","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Bio","Bio"
"1462",172,NA,"Target Corporation","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Bio","Bio"
"1466",176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,FALSE,"BA, MS","Intern","Yes","Bio","Bio"
"1468",178,NA,"Texas Water Development Board","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","Bio","Bio"
"1470",180,NA,"The Blood & Tissue Center of Central Texas","Bio, Biochem, Chem, Stats, NeuroSci, HDFS, Public Health",FALSE,TRUE,NA,"FT, Intern","Yes","Bio","Bio"
"1480",190,"Technology Start Up Village","Umbel","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","Bio","Bio"
"1486",196,NA,"US Marine Corps Officer Selection Team Austin, TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Bio","Bio"
"1487",197,NA,"US Navy","All Majors",FALSE,FALSE,"BA","FT","Yes","Bio","Bio"
"1490",200,NA,"UT Health School of Biomedical Informatics at Hou","All Majors",FALSE,FALSE,"BA","FT","No","Bio","Bio"
"1491",201,NA,"UT Health Science Center at Tyler","Biochem, Bio, Chem, MedLabSci, Physics, HP",FALSE,FALSE,"BA","FT","Yes","Bio","Bio"
"1498",208,NA,"Websense","Bio, CS, Math, Physics, Stats Elements ofComp Cert.",TRUE,TRUE,"BA, Cert, MS","FT, Intern","Yes","Bio","Bio"
"1502",212,NA,"WP Engine","All Majors",FALSE,FALSE,"BS","FT","Yes","Bio","Bio"
"1503",213,NA,"Xerox","All Majors",FALSE,FALSE,NA,"FT","No","Bio","Bio"
"1505",215,NA,"YES Prep Public Schools","All Majors",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","No","Bio","Bio"
"1509",4,"Actuarial Section","AIG","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","No","Biochem","Biochem"
"1517",12,NA,"AmeriCorps","All Majors",FALSE,FALSE,"BS, Cert, MS","FT","Yes","Biochem","Biochem"
"1520",15,NA,"Aon","All Majors",FALSE,FALSE,"BS","FT, Intern","Yes","Biochem","Biochem"
"1530",25,NA,"Blue Cross and Blue Shield of IL, MT, OK, NM and TX","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Biochem","Biochem"
"1532",27,NA,"Booz Allen Hamilton","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Biochem","Biochem"
"1536",31,"Actuarial Section","Burns and Wilcox","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Biochem","Biochem"
"1538",33,NA,"Capital One","Public Health, Physics, Math, EnviroSci, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS","FT, Intern","Yes","Biochem","Biochem"
"1541",36,NA,"Charles Schwab & Co.","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Biochem","Biochem"
"1544",39,NA,"Citadel LLC","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Biochem","Biochem"
"1547",42,NA,"Civilian Logistics Career Management Office (CLCMO)","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Biochem","Biochem"
"1557",52,NA,"Cvent","All Majors",FALSE,FALSE,"BS, MS","FT","No","Biochem","Biochem"
"1563",58,NA,"Dimensional Fund Advisors","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Biochem","Biochem"
"1570",65,NA,"Epic","Math, Stats, Physics, CS, Chem, Bio, BioChem",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Biochem","Biochem"
"1572",67,NA,"Evonik Corporation","EnviroSci, Chem, Bio, BioChem",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Biochem","Biochem"
"1588",83,NA,"Goldman Sachs","All Majors",FALSE,FALSE,"BS","Intern","No","Biochem","Biochem"
"1590",85,"Technology Start Up Village","Graphiq","Astronomy, Bio, Biochem, Chem, CS, Math, Physics, Stats",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","No","Biochem","Biochem"
"1591",86,NA,"Halliburton","Math, CS, Chem, BioChem",TRUE,TRUE,"MS, Ph.D.","FT, Intern","Yes","Biochem","Biochem"
"1596",91,NA,"HMS -Â­â (Health Management System)","All Majors",FALSE,FALSE,"BA","Intern","Yes","Biochem","Biochem"
"1601",96,NA,"Identropy, Inc.","All Majors",FALSE,FALSE,NA,"FT","No","Biochem","Biochem"
"1603",98,NA,"Information Technology Services at the University of Texas in Austin","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Biochem","Biochem"
"1624",119,NA,"MIT Lincoln Laboratory","Physics, Math, CS, Chem, Bio, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Biochem","Biochem"
"1629",124,NA,"o9 Solutions, Inc.","All Majors",FALSE,FALSE,NA,"FT, Intern","No","Biochem","Biochem"
"1637",132,NA,"Peace Corps","All Majors",FALSE,FALSE,"BS, MS","FT","Yes","Biochem","Biochem"
"1641",136,NA,"Periscope Holdings, Inc.","All Majors",FALSE,FALSE,NA,"FT","Yes","Biochem","Biochem"
"1645",140,NA,"Procter & Gamble","Chem, Bio, BioChem",FALSE,FALSE,"BS, MS, Ph.D.","FT, Intern","Yes","Biochem","Biochem"
"1660",155,NA,"Rx Wiki","All Majors",FALSE,FALSE,NA,"FT","Yes","Biochem","Biochem"
"1662",157,NA,"Sandia National Laboratories","Stats, Physics, Math, EnviroSci, CS, Chem, BioChem, Astronomy",TRUE,TRUE,"BS, MS, Ph.D.","FT, Intern","Yes","Biochem","Biochem"
"1671",166,NA,"Spredfast","All Majors",FALSE,FALSE,NA,"FT, Intern","Yes","Biochem","Biochem"
"1677",172,NA,"Target Corporation","All Majors",FALSE,FALSE,"BS, MS","FT, Intern","Yes","Biochem","Biochem"
"1681",176,NA,"Texas Commission on Environmental Quality","All Majors",FALSE,FALSE,"BA, MS","Intern","Yes","Biochem","Biochem"
"1683",178,NA,"Texas Water Development Board","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","Yes","Biochem","Biochem"
"1685",180,NA,"The Blood & Tissue Center of Central Texas","Bio, Biochem, Chem, Stats, NeuroSci, HDFS, Public Health",FALSE,TRUE,NA,"FT, Intern","Yes","Biochem","Biochem"
"1695",190,"Technology Start Up Village","Umbel","All Majors",FALSE,FALSE,"BA, Cert, MS, Ph.D.","FT, Intern","No","Biochem","Biochem"
